tahun;bulan;pelaku_kekerasan;jumlah_kekerasan
2019;1;Orang Tua;7
2019;1;Keluarga;3
2019;1;Suami;13
2019;1;Lainnya;15
2019;1;Pacar;11
2019;1;Tetangga;7
2019;2;Orang Tua;13
2019;2;Keluarga;5
2019;2;Suami;41
2019;2;Lainnya;26
2019;2;Pacar;15
2019;2;Tetangga;9
2019;3;Orang Tua;5
2019;3;Keluarga;3
2019;3;Suami;21
2019;3;Lainnya;39
2019;3;Pacar;21
2019;3;Tetangga;12
2019;4;Orang Tua;1
2019;4;Keluarga;10
2019;4;Suami;25
2019;4;Lainnya;26
2019;4;Pacar;9
2019;4;Tetangga;4
2019;5;Orang Tua;4
2019;5;Keluarga;11
2019;5;Suami;25
2019;5;Lainnya;21
2019;5;Pacar;4
2019;5;Tetangga;7
2019;6;Orang Tua;3
2019;6;Keluarga;0
2019;6;Suami;14
2019;6;Lainnya;6
2019;6;Pacar;1
2019;6;Tetangga;2
2019;7;Orang Tua;6
2019;7;Keluarga;4
2019;7;Suami;54
2019;7;Lainnya;31
2019;7;Pacar;7
2019;7;Tetangga;11
2019;8;Orang Tua;7
2019;8;Keluarga;3
2019;8;Suami;43
2019;8;Lainnya;14
2019;8;Pacar;3
2019;8;Tetangga;5
2019;9;Orang Tua;10
2019;9;Keluarga;5
2019;9;Suami;46
2019;9;Lainnya;20
2019;9;Pacar;3
2019;9;Tetangga;1
2019;10;Orang Tua;3
2019;10;Keluarga;3
2019;10;Suami;36
2019;10;Lainnya;90
2019;10;Pacar;7
2019;10;Tetangga;6
2019;11;Orang Tua;11
2019;11;Keluarga;5
2019;11;Suami;29
2019;11;Lainnya;16
2019;11;Pacar;7
2019;11;Tetangga;7
2019;12;Orang Tua;6
2019;12;Keluarga;4
2019;12;Suami;23
2019;12;Lainnya;15
2019;12;Pacar;2
2019;12;Tetangga;6
